"tractNum","SB535_DAC","SB535adjacent","AB1550_LowInc","HPI_DAC"
6001442700,"No","No","No","No"
6001442800,"No","No","No","No"
6037204920,"Yes","No","Yes","Yes"
6037205110,"Yes","No","Yes","Yes"
6037205120,"Yes","No","Yes","Yes"
6037206010,"Yes","No","Yes","Yes"
6037206020,"No","No","No",NA
6037206050,"Yes","No","Yes","Yes"
6037207400,"Yes","No","Yes",NA
6001442900,"No","No","No","No"
6037192410,"No","No","No","No"
6037192510,"Yes","No","Yes","No"
6037192520,"Yes","No","Yes","Yes"
6037192610,"Yes","No","Yes","Yes"
6037192700,"Yes","No","Yes","Yes"
6037194500,"No","No","No","No"
6037195100,"No","No","No","No"
6037195300,"No","No","No","No"
6001443001,"No","No","No","No"
6001443002,"No","No","No","No"
6001443102,"No","No","No","No"
6001443301,"No","No","No","No"
6037137501,"No","No","No","No"
6037137502,"No","No","No","No"
6085504311,"No","No","No","No"
6085504314,"No","No","No","No"
6085504315,"No","No","No","No"
6077002000,"Yes","No","Yes","Yes"
6077002100,"Yes","No","Yes","Yes"
6077002300,"Yes","No","Yes","Yes"
6059011711,"No","No","Yes","No"
6059011712,"No","No","No","No"
6059011715,"No","No","No","No"
6059011716,"No","No","No","No"
6059042114,"No","No","No","No"
6001423400,"No","No","No","No"
6059042305,"No","No","No","No"
6059042307,"No","No","No","No"
6059063010,"No","No","No","No"
6059063101,"No","No","No","No"
6059063102,"No","No","No","No"
6071004201,"Yes","No","Yes","Yes"
6071004202,"Yes","No","Yes","Yes"
6071004401,"Yes","No","Yes","Yes"
6001423500,"No","No","Yes","No"
6001423602,"No","No","Yes","No"
6001427600,"No","No","Yes","No"
6059063103,"No","No","No","No"
6059063201,"No","No","No","No"
6075015700,"No","No","No","No"
6075015900,"No","No","Yes","No"
6075016000,"No","No","Yes","No"
6075016300,"No","No","No","No"
6075016400,"No","No","No","No"
6037408137,"No","No","Yes","No"
6075016600,"No","No","No","No"
6075015500,"No","No","Yes","No"
6075015600,"No","No","No","No"
6075016700,"No","No","No","No"
6001433000,"No","No","No","No"
6001433200,"Yes","No","Yes","No"
6001433300,"No","No","Yes","No"
6001433400,"No","No","No","No"
6001433500,"No","No","No","No"
6001433102,"No","No","No","No"
6077002701,"Yes","No","Yes","Yes"
6077002702,"Yes","No","Yes","Yes"
6077003106,"No","No","No","No"
6001440307,"No","No","Yes","No"
6001433800,"No","No","Yes","No"
6001440308,"No","No","No","No"
6001441200,"No","No","No","No"
6001441301,"No","No","No","No"
6001441302,"No","No","No","No"
6077003108,"No","No","Yes","No"
6077003111,"No","No","Yes","Yes"
6077003112,"No","No","No","No"
6077003113,"Yes","No","Yes","Yes"
6077003203,"No","No","No","No"
6001440331,"No","No","Yes","No"
6001433900,"No","No","Yes","Yes"
6077003205,"No","No","No","No"
6077003208,"No","No","No","No"
6001434000,"No","No","Yes","No"
6001435500,"No","No","Yes","No"
6001435800,"No","No","Yes","No"
6077003209,"No","No","No","No"
6077003210,"No","No","No","No"
6077003213,"No","No","No","No"
6077003214,"No","No","No","No"
6001435900,"No","No","No","No"
6001436000,"No","No","No","No"
6001436100,"No","No","No","No"
6001436200,"No","No","Yes","No"
6001436300,"No","No","Yes","No"
6001436401,"No","No","No","No"
6001436602,"No","No","Yes","No"
6001436700,"No","No","No","No"
6001436800,"No","No","Yes","No"
6075016900,"No","No","No","No"
6075017000,"No","No","No","No"
6113010511,"No","No","No","No"
6113010512,"No","No","No","No"
6001436900,"No","No","Yes","No"
6001437000,"No","No","No","No"
6001437200,"Yes","No","No","No"
6001437300,"No","No","Yes","No"
6001437400,"No","No","Yes","No"
6001437600,"No","No","Yes","No"
6077003306,"No","No","Yes","No"
6077003311,"No","No","Yes","Yes"
6077003403,"Yes","No","Yes","Yes"
6077003405,"Yes","No","Yes","Yes"
6077003307,"No","No","Yes","Yes"
6077003310,"No","No","Yes","Yes"
6077003601,"Yes","No","No","No"
6077003802,"Yes","No","No","No"
6001437900,"No","No","Yes","No"
6001438100,"No","No","No","No"
6001438201,"No","No","Yes","No"
6001438400,"No","No","No","No"
6001437800,"No","No","No","No"
6113010513,"No","No","Yes","No"
6001440200,"No","No","Yes","No"
6001440304,"No","No","No","No"
6001432200,"No","No","No","No"
6001432300,"No","No","No","No"
6001440305,"No","No","No","No"
6001432700,"No","No","No","No"
6001433103,"No","No","Yes","No"
6065041912,"No","No","No","No"
6081608013,"No","No","No","No"
6073017050,"No","No","No","No"
6037275500,"No","No","Yes","No"
6037462001,"No","No","Yes","No"
6037463601,"No","No","No","No"
6037920116,"No","No","No","No"
6037920119,"No","No","No","No"
6037920338,"No","No","No","No"
6037930301,"No","No","No",NA
6013346204,"No","No","No","No"
6013346203,"No","No","No","No"
6013360101,"No","No","No","No"
6013355109,"No","No","No","No"
6013355113,"No","No","No","No"
6013334006,"No","No","No","No"
6013334200,"No","No","No","No"
6013392200,"Yes","No","No","No"
6013355306,"No","No","No","No"
6013355112,"No","No","No","No"
6095252317,"No","No","No","No"
6095252316,"No","No","No","No"
6095253206,"No","No","No","No"
6095253205,"No","No","No","No"
6095253204,"No","No","No","No"
6073010014,"No","No","No","No"
6037221601,"Yes","No","Yes","Yes"
6037222001,"Yes","No","Yes","No"
6037237201,"Yes","No","Yes","Yes"
6037239201,"Yes","No","Yes","Yes"
6037239601,"Yes","No","Yes","Yes"
6037980019,"No","No","No",NA
6037980031,"Yes","No","No",NA
6059063907,"No","No","No","No"
6059075702,"No","No","No","No"
6059074805,"No","No","Yes","Yes"
6059042317,"No","No","No","No"
6059062647,"No","No","Yes","No"
6059052411,"No","No","No","No"
6059021913,"No","No","Yes","No"
6059075604,"No","No","No","No"
6059042111,"No","No","No","No"
6059021924,"No","No","No","No"
6059099603,"No","No","No","No"
6059099406,"No","No","No","No"
6059087403,"Yes","No","Yes","Yes"
6001444301,"No","No","No","No"
6059062900,"No","No","No","No"
6059062619,"No","No","No","No"
6059062620,"No","No","No","No"
6059074110,"No","No","No","No"
6059062610,"No","No","No","No"
6059042203,"No","No","No","No"
6019004404,"Yes","No","Yes","Yes"
6059110113,"No","No","No","No"
6059087902,"No","No","Yes","Yes"
6059021912,"No","No","No","No"
6059099415,"No","No","No","No"
6059021915,"No","No","No","No"
6059001601,"No","No","No","No"
6059021820,"No","No","No","No"
6059001602,"No","No","No","No"
6059062643,"No","No","No","No"
6059042320,"No","No","No","No"
6037141303,"No","No","No","No"
6037186202,"No","No","No","No"
6037188202,"No","No","No","No"
6037189905,"No","No","No","No"
6001404700,"No","No","No","No"
6001404800,"No","No","Yes","No"
6001405200,"No","No","No","No"
6001450750,"No","No","No","No"
6001451403,"No","No","No","No"
6019004405,"No","No","No","No"
6037602504,"Yes","No","Yes","Yes"
6037241002,"Yes","No","Yes","Yes"
6037262604,"No","No","No","No"
6037262802,"No","No","No","No"
6037267403,"No","No","No","No"
6019005301,"Yes","No","Yes","Yes"
6019005305,"Yes","No","Yes","Yes"
6001405100,"No","No","No","No"
6001404900,"No","No","No","No"
6037980003,"No","No","No",NA
6037980007,"No","No","No",NA
6037980009,"Yes","No","No",NA
6037296901,"Yes","No","Yes","No"
6037123902,"No","No","No","No"
6037134522,"Yes","No","Yes","No"
6037192001,"No","No","No","No"
6037211122,"Yes","No","Yes","No"
6037104822,"Yes","No","Yes","No"
6059063808,"No","No","Yes","No"
6059062645,"No","No","No","No"
6059088702,"No","No","Yes","No"
6097151602,"No","No","No","No"
6097150607,"No","No","No","No"
6097150610,"No","No","No","No"
6097153809,"No","No","No","No"
